parnumber,maf,cat,cat3,cap,pkg,val,dff,
0805B103K501,WTC,电容,,10nF,805,500V,±10%,
0603N330J101,WTC,电容,,33pF,603,100V,±5%,
C0805X104K101T,HEC,电容,,100nF,805,100V,±10%,
0805N330J501,WTC,电容,,33pF,805,500V,±5%,
C1206X471K251T,HEC,电容,,470pF,,250V,±10%,
C0805N151J101T,HEC,电容,,150pF,805,100V,±5%,
1206B222K102,WTC,电容,,2.2nF,,1KV,±10%,
C1206X104K101T,HEC,电容,,100nF,,100V,±10%,
C1206X102K102T,HEC,电容,,1nF,,1000V,±10%,
C0805N561K251T,HEC,电容,,560pF,805,250V,±10%,
C1206X102K202T,HEC,电容,,1nF,,2000V,±10%,
C1812X104K631T,HEC,电容,,100nF,,630V,±10%,
C1206X332K251T,HEC,电容,,3.3nF,,250V,±10%,
0805B222K101,WTC,电容,,2.2nF,805,100V,±10%,
0603N101J251,WTC,电容,,100pF,603,250V,±5%,
C1206X221K101T,HEC,电容,,220pF,,100V,±10%,
C1206X151K102T,HEC,电容,,150pF,,1000V,±10%,
0805B222K251,WTC,电容,,2.2nF,805,250V,±10%,
C1206X333K251T,HEC,电容,,33nF,,250V,±10%,
0805B681K101,WTC,电容,,680pF,805,100V,±10%,
C1206X223K251T,HEC,电容,,22nF,,250V,±10%,
C1206X222K251T,HEC,电容,,2.2nF,,250V,±10%,
0805B102K251,WTC,电容,,1nF,805,250V,±10%,
0805N560J101,WTC,电容,,56pF,805,100V,±5%,
C1206X105K101T,HEC,电容,,1uF,,100V,±10%,
0805B471K251,WTC,电容,,470pF,805,250V,±10%,
C1812X225K101T,HEC,电容,,2.2uF,,100V,±10%,
C1210X225M101T,HEC,电容,,2.2uF,,100V,±20%,
0805N102J101,WTC,电容,,1nF,805,100V,±5%,
C1206N150J102T,HEC,电容,,15pF,,1000V,±5%,
C1206X224K101T,HEC,电容,,220nF,,100V,±10%,
C1206X471K102T,HEC,电容,,470pF,,1000V,±10%,
0805B473K101,WTC,电容,,47nF,805,100V,±10%,
C1812X104K251T,HEC,电容,,100nF,,250V,±10%,
1206N101J102,WTC,电容,,100pF,,1KV,±5%,
0805B103K101,WTC,电容,,10nF,805,100V,±10%,
1206B122K251,WTC,电容,,1.2nF,,250V,±10%,
1206B102K501,WTC,电容,,1nF,,500V,±10%,
C0603X104K101T,HEC,电容,,100nF,603,100V,±10%,
1808B102K202NT,FH,电容,,1nF,,2KV,±10%,
C0805X105K101T,HEC,电容,,1uF,805,100V,±10%,
1206N100J102,WTC,电容,,10pF,,1KV,±5%,
0805B471K501,WTC,电容,,470pF,805,500V,±10%,
C0805X103K201T,HEC,电容,,10nF,805,200V,±10%,
0805B472K201,WTC,电容,,4.7nF,805,200V,±10%,
CC1206KKX7RCBB221,YAGEO,电容,,220pF,,1kVDC,±10%,
1206B683K201,WTC,电容,,68nF,,200V,±10%,
0805B221K251,WTC,电容,,220pF,805,250V,±10%,
0805B223K251,WTC,电容,,22nF,805,250V,±10%,
0603B221K101,WTC,电容,,220pF,603,100V,±10%,
C1206N220J102T,HEC,电容,,22pF,,1000V,±5%,
1206N680J202,WTC,电容,,68pF,,2KV,±5%,
0805B471K201,WTC,电容,,470pF,805,200V,±10%,
0805N101J201,WTC,电容,,100pF,805,200V,±5%,
1206B471K251,WTC,电容,,470pF,,250V,±10%,
C1210X105K101T,HEC,电容,,1uF,,100V,±10%,
C1206X681K102T,HEC,电容,,680pF,,1000V,±10%,
C1206X102K251T,HEC,电容,,1nF,,250V,±10%,
0805B152K101,WTC,电容,,1.5nF,805,100V,±10%,
1206N222J631,WTC,电容,,2.2nF,,630V,±5%,
1206B681K102,WTC,电容,,680pF,,1KV,±10%,
1206B222K631,WTC,电容,,2.2nF,,630V,±10%,
0805N471J251,WTC,电容,,470pF,805,250V,±5%,
1206B103K251,WTC,电容,,10nF,,250V,±10%,
C1206X103K251T,HEC,电容,,10nF,,250V,±10%,
0603B103K101,WTC,电容,,10nF,603,100V,±10%,
C1808X222K202T,HEC,电容,,2.2nF,,2000V,±10%,
C1210X104K501T,HEC,电容,,100nF,,500V,±10%,
0805B472K501,WTC,电容,,4.7nF,805,500V,±10%,
0805B103K251,WTC,电容,,10nF,805,250V,±10%,
1210B105K101,WTC,电容,,1uF,,100V,±10%,
0805B221K501,WTC,电容,,220pF,805,500V,±10%,
C1206X103K101T,HEC,电容,,10nF,,100V,±10%,
C1206X104K451T,HEC,电容,,100nF,,450V,±10%,
1206B222K501,WTC,电容,,2.2nF,,500V,±10%,
C1206X224K251T3K,HEC,电容,,220nF,,250V,±10%,
0805B472K101,WTC,电容,,4.7nF,805,100V,±10%,
C1206X331K101T,HEC,电容,,330pF,,100V,±10%,
C1206X472M251T,HEC,电容,,4.7nF,,250V,±20%,
C0805N471K251T,HEC,电容,,470pF,805,250V,±10%,
C0805N681J251T,HEC,电容,,680pF,805,250V,±5%,
C1206X681K101T,HEC,电容,,680pF,,100V,±10%,
C0805N221K251T,HEC,电容,,220pF,805,250V,±10%,
C0805X102K251T,HEC,电容,,1nF,805,250V,±10%,
C0805X681K251T,HEC,电容,,680pF,805,250V,±10%,
C0805N331K251T,HEC,电容,,330pF,805,250V,±10%,
C1206X473K251T,HEC,电容,,47nF,,250V,±10%,
0805B391K101NT,FH,电容,,390pF,805,100V,±10%,
C0805N331J101T,HEC,电容,,330pF,805,100V,±5%,
C1206X332K501T,HEC,电容,,3.3nF,,500V,±10%,
C1812X103K202T,HEC,电容,,10nF,,2000V,±10%,
C0805N101J251T,HEC,电容,,100pF,805,250V,±5%,
C1206X331K201T,HEC,电容,,330pF,,200V,±10%,
C1206N101J102T,HEC,电容,,100pF,,1000V,±5%,
0805N331J101,WTC,电容,,330pF,805,100V,±5%,
0805B331K501,WTC,电容,,330pF,805,500V,±10%,
C0805X221K251T,HEC,电容,,220pF,805,250V,±10%,
0805B102K101,WTC,电容,,1nF,805,100V,±10%,
C1812X474K251T2.0M,HEC,电容,,470nF,,250V,±10%,
C1206X471K201T,HEC,电容,,470pF,,200V,±10%,
0805N221J101,WTC,电容,,220pF,805,100V,±5%,
0805B472K251,WTC,电容,,4.7nF,805,250V,±10%,
1206B102K101,WTC,电容,,1nF,,100V,±10%,
0805N560J251,WTC,电容,,56pF,805,250V,±5%,
C0603X221K101T,HEC,电容,,220pF,603,100V,±10%,
C0805X222K251T,HEC,电容,,2.2nF,805,250V,±10%,
C0805X153K251T,HEC,电容,,15nF,805,250V,±10%,
C1808X151K302T,HEC,电容,,150pF,,3000V,±10%,
C1206X332K101T,HEC,电容,,3.3nF,,100V,±10%,
C0805N102J251T,HEC,电容,,1nF,805,250V,±5%,
C1206N681K631T,HEC,电容,,680pF,,630V,±10%,
C1206X473K631T,HEC,电容,,47nF,,630V,±10%,
C1206X471K101T,HEC,电容,,470pF,,100V,±10%,
C1808N680J202T,HEC,电容,,68pF,,2000V,±5%,
C1210X223K501T,HEC,电容,,22nF,,500V,±10%,
C1206N470J202T,HEC,电容,,47pF,,2000V,±5%,
C0805N471K501T,HEC,电容,,470pF,805,500V,±10%,
C1210X224K201T,HEC,电容,,220nF,,200V,±10%,
0805B221K201,WTC,电容,,220pF,805,200V,±10%,
C1206X473K101T,HEC,电容,,47nF,,100V,±10%,
C1206X682K102T,HEC,电容,,6.8nF,,1000V,±10%,
C1206N330J102T,HEC,电容,,33pF,,1000V,±5%,
C1206X471K202T,HEC,电容,,470pF,,2000V,±10%,
C1206X222K101T,HEC,电容,,2.2nF,,100V,±10%,
0805B331K201,WTC,电容,,330pF,805,200V,±10%,
C0805X473K101T,HEC,电容,,47nF,805,100V,±10%,
C1206X472K101T,HEC,电容,,4.7nF,,100V,±10%,
C1206X333K501T,HEC,电容,,33nF,,500V,±10%,
C1206N471J501T,HEC,电容,,470pF,,500V,±5%,
1206B221K102,WTC,电容,,220pF,,1KV,±10%,
C1206X332K102T,HEC,电容,,3.3nF,,1000V,±10%,
C1206X331K102T,HEC,电容,,330pF,,1000V,±10%,
C1210N101J202T,HEC,电容,,100pF,,2000V,±5%,
1206B332K631,WTC,电容,,3.3nF,,630V,±10%,
C1210X102K202T,HEC,电容,,1nF,,2000V,±10%,
C1206X153K631T,HEC,电容,,15nF,,630V,±10%,
1206B102K102,WTC,电容,,1nF,,1KV,±10%,
1206B472K501,WTC,电容,,4.7nF,,500V,±10%,
C1812X105K251T1K,HEC,电容,,1uF,,250V,±10%,
C1808X102K202T,HEC,电容,,1nF,,2000V,±10%,
C1206N222J501T,HEC,电容,,2.2nF,,500V,±5%,
C1206N100J202T,HEC,电容,,10pF,,2000V,±5%,
