AT89S52-24AU,"24MHZ, TQFP, IND TEMP, GREEN",AT89S52-24AU,"最少订量: 160 订量单位: x160"
AT89S52-24AUR,"24 MHZ, TQFP44, IND TEMP, GREEN",AT89S52-24AUR,"最少订量: 2000 订量单位: x2000"
AT89S52-24JU,"24MHZ, PLCC, IND TEMP, GREEN, 5V",AT89S52-24JU,"最少订量: 27 订量单位: x27"
AT89S52-24PU,"24MHZ, PDIP, IND TEMP, GREEN",AT89S52-24PU,"最少订量: 10 订量单位: x10"
AT89S8253-24AU,"24MHZ, TQFP, IND TEMP, GREEN",AT89S8253-24AU,"最少订量: 160 订量单位: x160"
AT89S8253-24JU,"24MHZ, PLCC, IND TEMP, GREEN",AT89S8253-24JU,"最少订量: 27 订量单位: x27"
AT89S8253-24PU,"24MHZ, PDIP, IND TEMP, GREEN",AT89S8253-24PU,"最少订量: 10 订量单位: x10"
AT90CAN32-16AU,CAN AVR UC 32KFLASH TQFP64 SAMPLE G,AT90CAN32-16AU,"最少订量: 90 订量单位: x90"
AT90CAN32-16AUR,CAN AVR UC 32KFLASH TQFP64 T&R,AT90CAN32-16AUR,"最少订量: 1000 订量单位: x1000"
AT90CAN32-16MU,CAN AVR UC 32KFLASH QFN64 SAMPLE GR,AT90CAN32-16MU,"最少订量: 260 订量单位: x260"
AT90CAN32-16MUR,"16MHz,CAN, Industrial, QFN64,T&R",AT90CAN32-16MUR,"最少订量: 4000 订量单位: x4000"
AT90CAN64-16AU,CAN AVR UC 64KFLASH TQFP64 SAMPLE G,AT90CAN64-16AU,"最少订量: 90 订量单位: x90"
AT90CAN64-16AUR,CAN AVR UC 64KFLASH TQFP64 T&R GREE,AT90CAN64-16AUR,"最少订量: 1000 订量单位: x1000"
AT90CAN64-16MU,CAN AVR UC 64KFLASH QFN64 SAMPLE GR,AT90CAN64-16MU,"最少订量: 260 订量单位: x260"
AT90CAN64-16MUR,"16MHz,CAN, Industrial, QFN/MLF64,T&",AT90CAN64-16MUR,"最少订量: 4000 订量单位: x4000"
AT90USB646-AU,"16 MHz, TQFP, Ind Temp, Green",AT90USB646-AU,"最少订量: 90 订量单位: x90"
AT90USB646-AUR,"16 MHz, TQFP, Ind Temp, Green",AT90USB646-AUR,"最少订量: 1000 订量单位: x1000"
AT90USB646-MU,"16 MHz, VQFN, Ind Temp, Green",AT90USB646-MU,"最少订量: 260 订量单位: x260"
AT90USB646-MUR,"16 MHz, QFN/MLF, Ind Temp, Green",AT90USB646-MUR,"最少订量: 4000 订量单位: x4000"
AT90USB647-AU,"16 MHz, TQFP, Ind Temp, Green,OTG",AT90USB647-AU,"最少订量: 90 订量单位: x90"
AT90USB647-AUR,"16 MHz, TQFP, Ind Temp, Green",AT90USB647-AUR,"最少订量: 1000 订量单位: x1000"
AT90USB647-MU,"16 MHz, TQFP, Ind Temp, Green, OTG",AT90USB647-MU,"最少订量: 260 订量单位: x260"
